unique_agent_id,base_seed,persona_index,weekday,weekday_label,activity_type,hours,day_type
base3270_StudentPersona_06,3270,5,3,Thu,work,4,weekday
base3270_StudentPersona_06,3270,5,4,Fri,downtime,3,weekday
base3270_StudentPersona_06,3270,5,4,Fri,eat,3,weekday
base3270_StudentPersona_06,3270,5,4,Fri,physical_activity,2,weekday
base3270_StudentPersona_06,3270,5,4,Fri,sleep,8,weekday
base3270_StudentPersona_06,3270,5,4,Fri,social_time,4,weekday
base3270_StudentPersona_06,3270,5,4,Fri,wake_up,1,weekday
base3270_StudentPersona_06,3270,5,4,Fri,work,3,weekday
base3270_StudentPersona_06,3270,5,5,Sat,downtime,5,weekend
base3270_StudentPersona_06,3270,5,5,Sat,eat,3,weekend
base3270_StudentPersona_06,3270,5,5,Sat,physical_activity,2,weekend
base3270_StudentPersona_06,3270,5,5,Sat,sleep,10,weekend
base3270_StudentPersona_06,3270,5,5,Sat,social_time,3,weekend
base3270_StudentPersona_06,3270,5,5,Sat,wake_up,1,weekend
base3270_StudentPersona_06,3270,5,6,Sun,downtime,5,weekend
base3270_StudentPersona_06,3270,5,6,Sun,eat,3,weekend
base3270_StudentPersona_06,3270,5,6,Sun,physical_activity,2,weekend
base3270_StudentPersona_06,3270,5,6,Sun,sleep,10,weekend
base3270_StudentPersona_06,3270,5,6,Sun,social_time,3,weekend
base3270_StudentPersona_06,3270,5,6,Sun,wake_up,1,weekend
base3270_StudentPersona_07,3270,6,0,Mon,downtime,7,weekday
base3270_StudentPersona_07,3270,6,0,Mon,eat,3,weekday
base3270_StudentPersona_07,3270,6,0,Mon,sleep,8,weekday
base3270_StudentPersona_07,3270,6,0,Mon,wake_up,1,weekday
base3270_StudentPersona_07,3270,6,0,Mon,work,5,weekday
base3270_StudentPersona_07,3270,6,1,Tue,downtime,7,weekday
base3270_StudentPersona_07,3270,6,1,Tue,eat,3,weekday
base3270_StudentPersona_07,3270,6,1,Tue,sleep,8,weekday
base3270_StudentPersona_07,3270,6,1,Tue,wake_up,1,weekday
base3270_StudentPersona_07,3270,6,1,Tue,work,5,weekday
base3270_StudentPersona_07,3270,6,2,Wed,downtime,7,weekday
base3270_StudentPersona_07,3270,6,2,Wed,eat,3,weekday
base3270_StudentPersona_07,3270,6,2,Wed,sleep,8,weekday
base3270_StudentPersona_07,3270,6,2,Wed,wake_up,1,weekday
base3270_StudentPersona_07,3270,6,2,Wed,work,5,weekday
base3270_StudentPersona_07,3270,6,3,Thu,downtime,7,weekday
base3270_StudentPersona_07,3270,6,3,Thu,eat,3,weekday
base3270_StudentPersona_07,3270,6,3,Thu,sleep,9,weekday
base3270_StudentPersona_07,3270,6,3,Thu,wake_up,1,weekday
base3270_StudentPersona_07,3270,6,3,Thu,work,4,weekday
base3270_StudentPersona_07,3270,6,4,Fri,downtime,4,weekday
base3270_StudentPersona_07,3270,6,4,Fri,eat,3,weekday
base3270_StudentPersona_07,3270,6,4,Fri,physical_activity,2,weekday
base3270_StudentPersona_07,3270,6,4,Fri,sleep,8,weekday
base3270_StudentPersona_07,3270,6,4,Fri,social_time,3,weekday
base3270_StudentPersona_07,3270,6,4,Fri,wake_up,1,weekday
base3270_StudentPersona_07,3270,6,4,Fri,work,3,weekday
base3270_StudentPersona_07,3270,6,5,Sat,downtime,4,weekend
base3270_StudentPersona_07,3270,6,5,Sat,eat,3,weekend
base3270_StudentPersona_07,3270,6,5,Sat,physical_activity,2,weekend
base3270_StudentPersona_07,3270,6,5,Sat,sleep,11,weekend
base3270_StudentPersona_07,3270,6,5,Sat,social_time,3,weekend
base3270_StudentPersona_07,3270,6,5,Sat,wake_up,1,weekend
base3270_StudentPersona_07,3270,6,6,Sun,downtime,5,weekend
base3270_StudentPersona_07,3270,6,6,Sun,eat,3,weekend
base3270_StudentPersona_07,3270,6,6,Sun,physical_activity,2,weekend
base3270_StudentPersona_07,3270,6,6,Sun,sleep,9,weekend
base3270_StudentPersona_07,3270,6,6,Sun,social_time,4,weekend
base3270_StudentPersona_07,3270,6,6,Sun,wake_up,1,weekend
base3270_StudentPersona_08,3270,7,0,Mon,downtime,6,weekday
base3270_StudentPersona_08,3270,7,0,Mon,eat,3,weekday
base3270_StudentPersona_08,3270,7,0,Mon,sleep,9,weekday
base3270_StudentPersona_08,3270,7,0,Mon,wake_up,1,weekday
base3270_StudentPersona_08,3270,7,0,Mon,work,5,weekday
base3270_StudentPersona_08,3270,7,1,Tue,downtime,7,weekday
base3270_StudentPersona_08,3270,7,1,Tue,eat,3,weekday
base3270_StudentPersona_08,3270,7,1,Tue,sleep,8,weekday
base3270_StudentPersona_08,3270,7,1,Tue,wake_up,1,weekday
base3270_StudentPersona_08,3270,7,1,Tue,work,5,weekday
base3270_StudentPersona_08,3270,7,2,Wed,downtime,7,weekday
base3270_StudentPersona_08,3270,7,2,Wed,eat,3,weekday
base3270_StudentPersona_08,3270,7,2,Wed,sleep,8,weekday
base3270_StudentPersona_08,3270,7,2,Wed,wake_up,1,weekday
base3270_StudentPersona_08,3270,7,2,Wed,work,5,weekday
base3270_StudentPersona_08,3270,7,3,Thu,downtime,8,weekday
base3270_StudentPersona_08,3270,7,3,Thu,eat,3,weekday
base3270_StudentPersona_08,3270,7,3,Thu,sleep,8,weekday
base3270_StudentPersona_08,3270,7,3,Thu,wake_up,1,weekday
base3270_StudentPersona_08,3270,7,3,Thu,work,4,weekday
base3270_StudentPersona_08,3270,7,4,Fri,downtime,3,weekday
base3270_StudentPersona_08,3270,7,4,Fri,eat,3,weekday
base3270_StudentPersona_08,3270,7,4,Fri,physical_activity,2,weekday
base3270_StudentPersona_08,3270,7,4,Fri,sleep,9,weekday
base3270_StudentPersona_08,3270,7,4,Fri,social_time,3,weekday
base3270_StudentPersona_08,3270,7,4,Fri,wake_up,1,weekday
base3270_StudentPersona_08,3270,7,4,Fri,work,3,weekday
base3270_StudentPersona_08,3270,7,5,Sat,downtime,3,weekend
base3270_StudentPersona_08,3270,7,5,Sat,eat,3,weekend
base3270_StudentPersona_08,3270,7,5,Sat,physical_activity,2,weekend
base3270_StudentPersona_08,3270,7,5,Sat,sleep,11,weekend
base3270_StudentPersona_08,3270,7,5,Sat,social_time,4,weekend
base3270_StudentPersona_08,3270,7,5,Sat,wake_up,1,weekend
base3270_StudentPersona_08,3270,7,6,Sun,downtime,5,weekend
base3270_StudentPersona_08,3270,7,6,Sun,eat,3,weekend
base3270_StudentPersona_08,3270,7,6,Sun,physical_activity,2,weekend
base3270_StudentPersona_08,3270,7,6,Sun,sleep,10,weekend
base3270_StudentPersona_08,3270,7,6,Sun,social_time,3,weekend
base3270_StudentPersona_08,3270,7,6,Sun,wake_up,1,weekend
base3270_StudentPersona_09,3270,8,0,Mon,downtime,5,weekday
base3270_StudentPersona_09,3270,8,0,Mon,eat,3,weekday
base3270_StudentPersona_09,3270,8,0,Mon,sleep,9,weekday
base3270_StudentPersona_09,3270,8,0,Mon,wake_up,1,weekday
base3270_StudentPersona_09,3270,8,0,Mon,work,6,weekday
base3270_StudentPersona_09,3270,8,1,Tue,downtime,6,weekday
base3270_StudentPersona_09,3270,8,1,Tue,eat,3,weekday
base3270_StudentPersona_09,3270,8,1,Tue,sleep,9,weekday
base3270_StudentPersona_09,3270,8,1,Tue,wake_up,1,weekday
base3270_StudentPersona_09,3270,8,1,Tue,work,5,weekday
base3270_StudentPersona_09,3270,8,2,Wed,downtime,7,weekday
base3270_StudentPersona_09,3270,8,2,Wed,eat,3,weekday
base3270_StudentPersona_09,3270,8,2,Wed,sleep,8,weekday
base3270_StudentPersona_09,3270,8,2,Wed,wake_up,1,weekday
base3270_StudentPersona_09,3270,8,2,Wed,work,5,weekday
base3270_StudentPersona_09,3270,8,3,Thu,downtime,8,weekday
base3270_StudentPersona_09,3270,8,3,Thu,eat,3,weekday
base3270_StudentPersona_09,3270,8,3,Thu,sleep,8,weekday
base3270_StudentPersona_09,3270,8,3,Thu,wake_up,1,weekday
base3270_StudentPersona_09,3270,8,3,Thu,work,4,weekday
base3270_StudentPersona_09,3270,8,4,Fri,downtime,3,weekday
base3270_StudentPersona_09,3270,8,4,Fri,eat,3,weekday
base3270_StudentPersona_09,3270,8,4,Fri,physical_activity,2,weekday
base3270_StudentPersona_09,3270,8,4,Fri,sleep,9,weekday
base3270_StudentPersona_09,3270,8,4,Fri,social_time,3,weekday
base3270_StudentPersona_09,3270,8,4,Fri,wake_up,1,weekday
base3270_StudentPersona_09,3270,8,4,Fri,work,3,weekday
base3270_StudentPersona_09,3270,8,5,Sat,downtime,6,weekend
base3270_StudentPersona_09,3270,8,5,Sat,eat,3,weekend
base3270_StudentPersona_09,3270,8,5,Sat,physical_activity,2,weekend
base3270_StudentPersona_09,3270,8,5,Sat,sleep,9,weekend
base3270_StudentPersona_09,3270,8,5,Sat,social_time,3,weekend
base3270_StudentPersona_09,3270,8,5,Sat,wake_up,1,weekend
base3270_StudentPersona_09,3270,8,6,Sun,downtime,4,weekend
base3270_StudentPersona_09,3270,8,6,Sun,eat,3,weekend
base3270_StudentPersona_09,3270,8,6,Sun,physical_activity,2,weekend
base3270_StudentPersona_09,3270,8,6,Sun,sleep,10,weekend
base3270_StudentPersona_09,3270,8,6,Sun,social_time,4,weekend
base3270_StudentPersona_09,3270,8,6,Sun,wake_up,1,weekend
base3270_StudentPersona_10,3270,9,0,Mon,downtime,5,weekday
base3270_StudentPersona_10,3270,9,0,Mon,eat,3,weekday
base3270_StudentPersona_10,3270,9,0,Mon,sleep,9,weekday
base3270_StudentPersona_10,3270,9,0,Mon,wake_up,1,weekday
base3270_StudentPersona_10,3270,9,0,Mon,work,6,weekday
base3270_StudentPersona_10,3270,9,1,Tue,downtime,7,weekday
base3270_StudentPersona_10,3270,9,1,Tue,eat,3,weekday
base3270_StudentPersona_10,3270,9,1,Tue,sleep,8,weekday
base3270_StudentPersona_10,3270,9,1,Tue,wake_up,1,weekday
base3270_StudentPersona_10,3270,9,1,Tue,work,5,weekday
base3270_StudentPersona_10,3270,9,2,Wed,downtime,7,weekday
base3270_StudentPersona_10,3270,9,2,Wed,eat,3,weekday
base3270_StudentPersona_10,3270,9,2,Wed,sleep,8,weekday
base3270_StudentPersona_10,3270,9,2,Wed,wake_up,1,weekday
base3270_StudentPersona_10,3270,9,2,Wed,work,5,weekday
base3270_StudentPersona_10,3270,9,3,Thu,downtime,8,weekday
base3270_StudentPersona_10,3270,9,3,Thu,eat,3,weekday
base3270_StudentPersona_10,3270,9,3,Thu,sleep,8,weekday
base3270_StudentPersona_10,3270,9,3,Thu,wake_up,1,weekday
base3270_StudentPersona_10,3270,9,3,Thu,work,4,weekday
base3270_StudentPersona_10,3270,9,4,Fri,downtime,3,weekday
base3270_StudentPersona_10,3270,9,4,Fri,eat,3,weekday
base3270_StudentPersona_10,3270,9,4,Fri,physical_activity,2,weekday
base3270_StudentPersona_10,3270,9,4,Fri,sleep,9,weekday
base3270_StudentPersona_10,3270,9,4,Fri,social_time,3,weekday
base3270_StudentPersona_10,3270,9,4,Fri,wake_up,1,weekday
base3270_StudentPersona_10,3270,9,4,Fri,work,3,weekday
base3270_StudentPersona_10,3270,9,5,Sat,downtime,6,weekend
base3270_StudentPersona_10,3270,9,5,Sat,eat,3,weekend
base3270_StudentPersona_10,3270,9,5,Sat,physical_activity,2,weekend
base3270_StudentPersona_10,3270,9,5,Sat,sleep,9,weekend
base3270_StudentPersona_10,3270,9,5,Sat,social_time,3,weekend
base3270_StudentPersona_10,3270,9,5,Sat,wake_up,1,weekend
base3270_StudentPersona_10,3270,9,6,Sun,downtime,4,weekend
base3270_StudentPersona_10,3270,9,6,Sun,eat,3,weekend
base3270_StudentPersona_10,3270,9,6,Sun,physical_activity,2,weekend
base3270_StudentPersona_10,3270,9,6,Sun,sleep,10,weekend
base3270_StudentPersona_10,3270,9,6,Sun,social_time,4,weekend
base3270_StudentPersona_10,3270,9,6,Sun,wake_up,1,weekend
base3271_StudentPersona_01,3271,0,0,Mon,downtime,5,weekday
base3271_StudentPersona_01,3271,0,0,Mon,eat,3,weekday
base3271_StudentPersona_01,3271,0,0,Mon,sleep,9,weekday
base3271_StudentPersona_01,3271,0,0,Mon,wake_up,1,weekday
base3271_StudentPersona_01,3271,0,0,Mon,work,6,weekday
base3271_StudentPersona_01,3271,0,1,Tue,downtime,7,weekday
base3271_StudentPersona_01,3271,0,1,Tue,eat,3,weekday
base3271_StudentPersona_01,3271,0,1,Tue,sleep,8,weekday
base3271_StudentPersona_01,3271,0,1,Tue,wake_up,1,weekday
base3271_StudentPersona_01,3271,0,1,Tue,work,5,weekday
base3271_StudentPersona_01,3271,0,2,Wed,downtime,7,weekday
base3271_StudentPersona_01,3271,0,2,Wed,eat,3,weekday
base3271_StudentPersona_01,3271,0,2,Wed,sleep,8,weekday
base3271_StudentPersona_01,3271,0,2,Wed,wake_up,1,weekday
base3271_StudentPersona_01,3271,0,2,Wed,work,5,weekday
base3271_StudentPersona_01,3271,0,3,Thu,downtime,7,weekday
base3271_StudentPersona_01,3271,0,3,Thu,eat,3,weekday
base3271_StudentPersona_01,3271,0,3,Thu,sleep,9,weekday
base3271_StudentPersona_01,3271,0,3,Thu,wake_up,1,weekday
base3271_StudentPersona_01,3271,0,3,Thu,work,4,weekday
base3271_StudentPersona_01,3271,0,4,Fri,downtime,3,weekday
base3271_StudentPersona_01,3271,0,4,Fri,eat,3,weekday
base3271_StudentPersona_01,3271,0,4,Fri,physical_activity,2,weekday
base3271_StudentPersona_01,3271,0,4,Fri,sleep,9,weekday
base3271_StudentPersona_01,3271,0,4,Fri,social_time,3,weekday
base3271_StudentPersona_01,3271,0,4,Fri,wake_up,1,weekday
base3271_StudentPersona_01,3271,0,4,Fri,work,3,weekday
base3271_StudentPersona_01,3271,0,5,Sat,downtime,4,weekend
base3271_StudentPersona_01,3271,0,5,Sat,eat,3,weekend
base3271_StudentPersona_01,3271,0,5,Sat,physical_activity,2,weekend
base3271_StudentPersona_01,3271,0,5,Sat,sleep,10,weekend
base3271_StudentPersona_01,3271,0,5,Sat,social_time,4,weekend
base3271_StudentPersona_01,3271,0,5,Sat,wake_up,1,weekend
base3271_StudentPersona_01,3271,0,6,Sun,downtime,4,weekend
base3271_StudentPersona_01,3271,0,6,Sun,eat,3,weekend
base3271_StudentPersona_01,3271,0,6,Sun,physical_activity,2,weekend
base3271_StudentPersona_01,3271,0,6,Sun,sleep,11,weekend
base3271_StudentPersona_01,3271,0,6,Sun,social_time,3,weekend
base3271_StudentPersona_01,3271,0,6,Sun,wake_up,1,weekend
base3271_StudentPersona_02,3271,1,0,Mon,downtime,7,weekday
base3271_StudentPersona_02,3271,1,0,Mon,eat,3,weekday
base3271_StudentPersona_02,3271,1,0,Mon,sleep,8,weekday
base3271_StudentPersona_02,3271,1,0,Mon,wake_up,1,weekday
base3271_StudentPersona_02,3271,1,0,Mon,work,5,weekday
base3271_StudentPersona_02,3271,1,1,Tue,downtime,5,weekday
base3271_StudentPersona_02,3271,1,1,Tue,eat,3,weekday
base3271_StudentPersona_02,3271,1,1,Tue,sleep,9,weekday
base3271_StudentPersona_02,3271,1,1,Tue,wake_up,1,weekday
base3271_StudentPersona_02,3271,1,1,Tue,work,6,weekday
base3271_StudentPersona_02,3271,1,2,Wed,downtime,6,weekday
base3271_StudentPersona_02,3271,1,2,Wed,eat,3,weekday
base3271_StudentPersona_02,3271,1,2,Wed,sleep,9,weekday
base3271_StudentPersona_02,3271,1,2,Wed,wake_up,1,weekday
base3271_StudentPersona_02,3271,1,2,Wed,work,5,weekday
base3271_StudentPersona_02,3271,1,3,Thu,downtime,8,weekday
base3271_StudentPersona_02,3271,1,3,Thu,eat,3,weekday
base3271_StudentPersona_02,3271,1,3,Thu,sleep,8,weekday
base3271_StudentPersona_02,3271,1,3,Thu,wake_up,1,weekday
base3271_StudentPersona_02,3271,1,3,Thu,work,4,weekday
base3271_StudentPersona_02,3271,1,4,Fri,downtime,2,weekday
base3271_StudentPersona_02,3271,1,4,Fri,eat,3,weekday
base3271_StudentPersona_02,3271,1,4,Fri,physical_activity,2,weekday
base3271_StudentPersona_02,3271,1,4,Fri,sleep,9,weekday
base3271_StudentPersona_02,3271,1,4,Fri,social_time,4,weekday
base3271_StudentPersona_02,3271,1,4,Fri,wake_up,1,weekday
base3271_StudentPersona_02,3271,1,4,Fri,work,3,weekday
base3271_StudentPersona_02,3271,1,5,Sat,downtime,4,weekend
base3271_StudentPersona_02,3271,1,5,Sat,eat,3,weekend
base3271_StudentPersona_02,3271,1,5,Sat,physical_activity,2,weekend
base3271_StudentPersona_02,3271,1,5,Sat,sleep,11,weekend
base3271_StudentPersona_02,3271,1,5,Sat,social_time,3,weekend
base3271_StudentPersona_02,3271,1,5,Sat,wake_up,1,weekend
base3271_StudentPersona_02,3271,1,6,Sun,downtime,4,weekend
base3271_StudentPersona_02,3271,1,6,Sun,eat,3,weekend
base3271_StudentPersona_02,3271,1,6,Sun,physical_activity,2,weekend
base3271_StudentPersona_02,3271,1,6,Sun,sleep,11,weekend
base3271_StudentPersona_02,3271,1,6,Sun,social_time,3,weekend
base3271_StudentPersona_02,3271,1,6,Sun,wake_up,1,weekend
base3271_StudentPersona_03,3271,2,0,Mon,downtime,5,weekday
base3271_StudentPersona_03,3271,2,0,Mon,eat,3,weekday
base3271_StudentPersona_03,3271,2,0,Mon,sleep,9,weekday
base3271_StudentPersona_03,3271,2,0,Mon,wake_up,1,weekday
base3271_StudentPersona_03,3271,2,0,Mon,work,6,weekday
base3271_StudentPersona_03,3271,2,1,Tue,downtime,7,weekday
base3271_StudentPersona_03,3271,2,1,Tue,eat,3,weekday
base3271_StudentPersona_03,3271,2,1,Tue,sleep,8,weekday
base3271_StudentPersona_03,3271,2,1,Tue,wake_up,1,weekday
base3271_StudentPersona_03,3271,2,1,Tue,work,5,weekday
base3271_StudentPersona_03,3271,2,2,Wed,downtime,7,weekday
base3271_StudentPersona_03,3271,2,2,Wed,eat,3,weekday
base3271_StudentPersona_03,3271,2,2,Wed,sleep,8,weekday
base3271_StudentPersona_03,3271,2,2,Wed,wake_up,1,weekday
base3271_StudentPersona_03,3271,2,2,Wed,work,5,weekday
base3271_StudentPersona_03,3271,2,3,Thu,downtime,7,weekday
base3271_StudentPersona_03,3271,2,3,Thu,eat,3,weekday
base3271_StudentPersona_03,3271,2,3,Thu,sleep,9,weekday
base3271_StudentPersona_03,3271,2,3,Thu,wake_up,1,weekday
base3271_StudentPersona_03,3271,2,3,Thu,work,4,weekday
base3271_StudentPersona_03,3271,2,4,Fri,downtime,2,weekday
base3271_StudentPersona_03,3271,2,4,Fri,eat,3,weekday
base3271_StudentPersona_03,3271,2,4,Fri,physical_activity,2,weekday
base3271_StudentPersona_03,3271,2,4,Fri,sleep,9,weekday
base3271_StudentPersona_03,3271,2,4,Fri,social_time,4,weekday
base3271_StudentPersona_03,3271,2,4,Fri,wake_up,1,weekday
base3271_StudentPersona_03,3271,2,4,Fri,work,3,weekday
base3271_StudentPersona_03,3271,2,5,Sat,downtime,5,weekend
base3271_StudentPersona_03,3271,2,5,Sat,eat,3,weekend
base3271_StudentPersona_03,3271,2,5,Sat,physical_activity,2,weekend
base3271_StudentPersona_03,3271,2,5,Sat,sleep,10,weekend
base3271_StudentPersona_03,3271,2,5,Sat,social_time,3,weekend
base3271_StudentPersona_03,3271,2,5,Sat,wake_up,1,weekend
base3271_StudentPersona_03,3271,2,6,Sun,downtime,4,weekend
base3271_StudentPersona_03,3271,2,6,Sun,eat,3,weekend
base3271_StudentPersona_03,3271,2,6,Sun,physical_activity,2,weekend
base3271_StudentPersona_03,3271,2,6,Sun,sleep,11,weekend
base3271_StudentPersona_03,3271,2,6,Sun,social_time,3,weekend
base3271_StudentPersona_03,3271,2,6,Sun,wake_up,1,weekend
base3271_StudentPersona_04,3271,3,0,Mon,downtime,5,weekday
base3271_StudentPersona_04,3271,3,0,Mon,eat,3,weekday
base3271_StudentPersona_04,3271,3,0,Mon,sleep,9,weekday
base3271_StudentPersona_04,3271,3,0,Mon,wake_up,1,weekday
base3271_StudentPersona_04,3271,3,0,Mon,work,6,weekday
base3271_StudentPersona_04,3271,3,1,Tue,downtime,7,weekday
base3271_StudentPersona_04,3271,3,1,Tue,eat,3,weekday
base3271_StudentPersona_04,3271,3,1,Tue,sleep,8,weekday
base3271_StudentPersona_04,3271,3,1,Tue,wake_up,1,weekday
base3271_StudentPersona_04,3271,3,1,Tue,work,5,weekday
base3271_StudentPersona_04,3271,3,2,Wed,downtime,6,weekday
base3271_StudentPersona_04,3271,3,2,Wed,eat,3,weekday
base3271_StudentPersona_04,3271,3,2,Wed,sleep,9,weekday
base3271_StudentPersona_04,3271,3,2,Wed,wake_up,1,weekday
base3271_StudentPersona_04,3271,3,2,Wed,work,5,weekday
base3271_StudentPersona_04,3271,3,3,Thu,downtime,8,weekday
base3271_StudentPersona_04,3271,3,3,Thu,eat,3,weekday
base3271_StudentPersona_04,3271,3,3,Thu,sleep,8,weekday
base3271_StudentPersona_04,3271,3,3,Thu,wake_up,1,weekday
base3271_StudentPersona_04,3271,3,3,Thu,work,4,weekday
base3271_StudentPersona_04,3271,3,4,Fri,downtime,2,weekday
base3271_StudentPersona_04,3271,3,4,Fri,eat,3,weekday
base3271_StudentPersona_04,3271,3,4,Fri,physical_activity,2,weekday
base3271_StudentPersona_04,3271,3,4,Fri,sleep,9,weekday
base3271_StudentPersona_04,3271,3,4,Fri,social_time,4,weekday
base3271_StudentPersona_04,3271,3,4,Fri,wake_up,1,weekday
base3271_StudentPersona_04,3271,3,4,Fri,work,3,weekday
base3271_StudentPersona_04,3271,3,5,Sat,downtime,5,weekend
base3271_StudentPersona_04,3271,3,5,Sat,eat,3,weekend
base3271_StudentPersona_04,3271,3,5,Sat,physical_activity,2,weekend
base3271_StudentPersona_04,3271,3,5,Sat,sleep,10,weekend
base3271_StudentPersona_04,3271,3,5,Sat,social_time,3,weekend
base3271_StudentPersona_04,3271,3,5,Sat,wake_up,1,weekend
base3271_StudentPersona_04,3271,3,6,Sun,downtime,5,weekend
base3271_StudentPersona_04,3271,3,6,Sun,eat,3,weekend
base3271_StudentPersona_04,3271,3,6,Sun,physical_activity,2,weekend
base3271_StudentPersona_04,3271,3,6,Sun,sleep,10,weekend
base3271_StudentPersona_04,3271,3,6,Sun,social_time,3,weekend
base3271_StudentPersona_04,3271,3,6,Sun,wake_up,1,weekend
base3271_StudentPersona_05,3271,4,0,Mon,downtime,7,weekday
base3271_StudentPersona_05,3271,4,0,Mon,eat,3,weekday
base3271_StudentPersona_05,3271,4,0,Mon,sleep,8,weekday
base3271_StudentPersona_05,3271,4,0,Mon,wake_up,1,weekday
base3271_StudentPersona_05,3271,4,0,Mon,work,5,weekday
base3271_StudentPersona_05,3271,4,1,Tue,downtime,6,weekday
base3271_StudentPersona_05,3271,4,1,Tue,eat,3,weekday
base3271_StudentPersona_05,3271,4,1,Tue,sleep,8,weekday
base3271_StudentPersona_05,3271,4,1,Tue,wake_up,1,weekday
base3271_StudentPersona_05,3271,4,1,Tue,work,6,weekday
base3271_StudentPersona_05,3271,4,2,Wed,downtime,7,weekday
base3271_StudentPersona_05,3271,4,2,Wed,eat,3,weekday
base3271_StudentPersona_05,3271,4,2,Wed,sleep,8,weekday
base3271_StudentPersona_05,3271,4,2,Wed,wake_up,1,weekday
base3271_StudentPersona_05,3271,4,2,Wed,work,5,weekday
base3271_StudentPersona_05,3271,4,3,Thu,downtime,8,weekday
base3271_StudentPersona_05,3271,4,3,Thu,eat,3,weekday
base3271_StudentPersona_05,3271,4,3,Thu,sleep,8,weekday
base3271_StudentPersona_05,3271,4,3,Thu,wake_up,1,weekday
base3271_StudentPersona_05,3271,4,3,Thu,work,4,weekday
base3271_StudentPersona_05,3271,4,4,Fri,downtime,4,weekday
base3271_StudentPersona_05,3271,4,4,Fri,eat,3,weekday
base3271_StudentPersona_05,3271,4,4,Fri,physical_activity,2,weekday
base3271_StudentPersona_05,3271,4,4,Fri,sleep,8,weekday
base3271_StudentPersona_05,3271,4,4,Fri,social_time,3,weekday
base3271_StudentPersona_05,3271,4,4,Fri,wake_up,1,weekday
base3271_StudentPersona_05,3271,4,4,Fri,work,3,weekday
base3271_StudentPersona_05,3271,4,5,Sat,downtime,4,weekend
base3271_StudentPersona_05,3271,4,5,Sat,eat,3,weekend
base3271_StudentPersona_05,3271,4,5,Sat,physical_activity,2,weekend
base3271_StudentPersona_05,3271,4,5,Sat,sleep,10,weekend
base3271_StudentPersona_05,3271,4,5,Sat,social_time,4,weekend
base3271_StudentPersona_05,3271,4,5,Sat,wake_up,1,weekend
base3271_StudentPersona_05,3271,4,6,Sun,downtime,5,weekend
base3271_StudentPersona_05,3271,4,6,Sun,eat,3,weekend
base3271_StudentPersona_05,3271,4,6,Sun,physical_activity,2,weekend
base3271_StudentPersona_05,3271,4,6,Sun,sleep,10,weekend
base3271_StudentPersona_05,3271,4,6,Sun,social_time,3,weekend
base3271_StudentPersona_05,3271,4,6,Sun,wake_up,1,weekend
base3271_StudentPersona_06,3271,5,0,Mon,downtime,6,weekday
base3271_StudentPersona_06,3271,5,0,Mon,eat,3,weekday
base3271_StudentPersona_06,3271,5,0,Mon,sleep,9,weekday
base3271_StudentPersona_06,3271,5,0,Mon,wake_up,1,weekday
base3271_StudentPersona_06,3271,5,0,Mon,work,5,weekday
base3271_StudentPersona_06,3271,5,1,Tue,downtime,7,weekday
base3271_StudentPersona_06,3271,5,1,Tue,eat,3,weekday
base3271_StudentPersona_06,3271,5,1,Tue,sleep,8,weekday
base3271_StudentPersona_06,3271,5,1,Tue,wake_up,1,weekday
base3271_StudentPersona_06,3271,5,1,Tue,work,5,weekday
base3271_StudentPersona_06,3271,5,2,Wed,downtime,6,weekday
base3271_StudentPersona_06,3271,5,2,Wed,eat,3,weekday
base3271_StudentPersona_06,3271,5,2,Wed,sleep,9,weekday
base3271_StudentPersona_06,3271,5,2,Wed,wake_up,1,weekday
base3271_StudentPersona_06,3271,5,2,Wed,work,5,weekday
base3271_StudentPersona_06,3271,5,3,Thu,downtime,8,weekday
base3271_StudentPersona_06,3271,5,3,Thu,eat,3,weekday
base3271_StudentPersona_06,3271,5,3,Thu,sleep,8,weekday
base3271_StudentPersona_06,3271,5,3,Thu,wake_up,1,weekday
base3271_StudentPersona_06,3271,5,3,Thu,work,4,weekday
base3271_StudentPersona_06,3271,5,4,Fri,downtime,2,weekday
base3271_StudentPersona_06,3271,5,4,Fri,eat,3,weekday
base3271_StudentPersona_06,3271,5,4,Fri,physical_activity,2,weekday
base3271_StudentPersona_06,3271,5,4,Fri,sleep,9,weekday
base3271_StudentPersona_06,3271,5,4,Fri,social_time,4,weekday
base3271_StudentPersona_06,3271,5,4,Fri,wake_up,1,weekday
base3271_StudentPersona_06,3271,5,4,Fri,work,3,weekday
base3271_StudentPersona_06,3271,5,5,Sat,downtime,6,weekend
base3271_StudentPersona_06,3271,5,5,Sat,eat,3,weekend
base3271_StudentPersona_06,3271,5,5,Sat,physical_activity,2,weekend
base3271_StudentPersona_06,3271,5,5,Sat,sleep,9,weekend
base3271_StudentPersona_06,3271,5,5,Sat,social_time,3,weekend
base3271_StudentPersona_06,3271,5,5,Sat,wake_up,1,weekend
base3271_StudentPersona_06,3271,5,6,Sun,downtime,4,weekend
base3271_StudentPersona_06,3271,5,6,Sun,eat,3,weekend
base3271_StudentPersona_06,3271,5,6,Sun,physical_activity,2,weekend
base3271_StudentPersona_06,3271,5,6,Sun,sleep,11,weekend
base3271_StudentPersona_06,3271,5,6,Sun,social_time,3,weekend
base3271_StudentPersona_06,3271,5,6,Sun,wake_up,1,weekend
base3271_StudentPersona_07,3271,6,0,Mon,downtime,7,weekday
